%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% Meta data %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% Boundary condition: SHBC
% f: 10000Hz
% Incident wave direction: alpha_s = NaNDeg, beta_s = NaNDeg
% Formulation: CCBIE
% Core method: IGA
% Method: BEM
% N: 2
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% Data %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
               alpha                   TS
                   0     33.4626134747357
                0.05     33.4490805915073
                 0.1     33.4135686727605
                0.15     33.3559362907669
                 0.2     33.2759812402883
                0.25     33.1734383366432
                 0.3     33.0479763990823
                0.35     32.8991943470026
                 0.4     32.7266163131652
                0.45     32.5296856516051
                 0.5     32.3077576875631
                0.55     32.0600910218564
                 0.6     31.7858371621307
                0.65     31.4840282083881
                 0.7     31.1535622710618
                0.75     30.7931862497486
                 0.8     30.4014755565006
                0.85      29.976810343772
                 0.9     29.5173478222823
                0.95     29.0209903832562
                   1      28.485349577875
                1.05     27.9077067546177
                 1.1     27.2849726953521
                1.15      26.613651660288
                 1.2     25.8898212796818
                1.25     25.1091515127526
                 1.3     24.2670089293377
                1.35     23.3587376350393
                 1.4     22.3802959457415
                1.45     21.3295957002898
                 1.5     20.2091946451421
                1.55     19.0314639084787
                 1.6     17.8277605684894
                1.65     16.6621373067615
                 1.7     15.6437310526345
                1.75     14.9164941257411
                 1.8     14.5994892505918
                1.85     14.7054826209323
                 1.9     15.1304020959831
                1.95     15.7279159547471
                   2     16.3787979950805
                2.05     17.0096580113345
                 2.1     17.5828136904304
                2.15     18.0819999480589
                 2.2     18.5022260829653
                2.25     18.8439227446985
                 2.3     19.1098569186599
                2.35     19.3035874610214
                 2.4     19.4287293450368
                2.45     19.4886332344477
                 2.5     19.4862783419923
                2.55     19.4242782474449
                 2.6     19.3049529677907
                2.65     19.1304497977421
                 2.7     18.9029128458842
                2.75     18.6247132423057
                 2.8      18.298761688976
                2.85     17.9289327908459
                 2.9     17.5206337303116
                2.95     17.0815404414221
                   3     16.6224862140586
                3.05     16.1583940391145
                 3.1     15.7089665923751
                3.15     15.2985945175106
                 3.2     14.9547429053116
                3.25     14.7042503482012
                 3.3     14.5678859967857
                3.35     14.5549727355063
                 3.4     14.6607046923529
                3.45     14.8677008550374
                 3.5     15.1508923219153
                3.55     15.4832081422415
                 3.6     15.8398833955304
                3.65     16.2006517154666
                 3.7     16.5502135149689
                3.75     16.8777277669005
                 3.8     17.1759402719976
                3.85     17.4403022648026
                 3.9      17.668230299454
                3.95     17.8585434443425
                   4     18.0110629740537
                4.05     18.1263440574324
                 4.1     18.2055089483796
                4.15     18.2501565292684
                 4.2     18.2623290071686
                4.25     18.2445212441229
                 4.3     18.1997209696986
                4.35      18.131468773507
                 4.4     18.0439252482969
                4.45     17.9419290436425
                 4.5     17.8310243757353
                4.55     17.7174309983988
                 4.6     17.6079263020132
                4.65     17.5096119808929
                 4.7     17.4295510818247
                4.75     17.3742879395337
                 4.8     17.3493008677342
                4.85     17.3584747032956
                 4.9     17.4037001367054
                4.95     17.4846938058821
                   5     17.5990851867756
                5.05     17.7427496537234
                 5.1     17.9103089446712
                5.15      18.095692812294
                 5.2     18.2926639315437
                5.25     18.4952406933462
                 5.3     18.6979914872241
                5.35     18.8962055483905
                 5.4     19.0859637179513
                5.45     19.2641385755525
                 5.5       19.42835146922
                5.55     19.5769082248397
                 5.6     19.7087287578774
                5.65     19.8232800144638
                 5.7     19.9205171881002
                5.75     20.0008349636321
                 5.8     20.0650283637307
                5.85     20.1142613054401
                 5.9     20.1500399600587
                5.95     20.1741872840923
                   6     20.1888145876335
                6.05     20.1962857616755
                 6.1      20.199169914753
                6.15     20.2001788462794
                 6.2     20.2020871887202
                6.25     20.2076352867964
                 6.3     20.2194178747585
                6.35     20.2397650193618
                 6.4     20.2706249792208
                6.45     20.3134607539952
                 6.5     20.3691723562928
                6.55     20.4380547810245
                 6.6       20.51979742785
                6.65      20.613525176881
                 6.7     20.7178756967383
                6.75     20.8311031685695
                 6.8     20.9511963155439
                6.85      21.075998650353
                 6.9     21.2033207822341
                6.95     21.3310376719763
                   7     21.4571670402426
                7.05     21.5799280576057
                 7.1     21.6977816026565
                7.15     21.8094546727564
                 7.2     21.9139520679561
                7.25     22.0105584332527
                 7.3     22.0988333446104
                7.35     22.1786015372883
                 7.4     22.2499397317795
                7.45     22.3131608989329
                 7.5     22.3687962731239
                7.55     22.4175750005648
                 7.6     22.4604010179372
                7.65      22.498326609324
                 7.7     22.5325221001876
                7.75     22.5642413254751
                 7.8     22.5947828551103
                7.85     22.6254474570251
                 7.9     22.6574928829326
                7.95     22.6920877029062
                   8     22.7302664919345
                8.05     22.7728890709057
                 8.1     22.8206066195053
                8.15     22.8738372382005
                 8.2     22.9327529300676
                8.25     22.9972790628921
                 8.3     23.0671062864687
                8.35     23.1417137881508
                 8.4     23.2204018414068
                8.45     23.3023309690759
                 8.5     23.3865647714324
                8.55     23.4721135523851
                 8.6     23.5579762476456
                8.65     23.6431787128304
                 8.7     23.7268070555464
                8.75     23.8080352968112
                 8.8     23.8861471554231
                8.85     23.9605521280325
                 8.9      24.030796279829
                8.95      24.096568278788
                   9     24.1577012252361
                9.05     24.2141707779843
                 9.1      24.266089988242
                9.15     24.3137011497422
                 9.2     24.3573648804747
                9.25     24.3975465859224
                 9.3      24.434800428753
                9.35     24.4697509535576
                 9.4     24.5030725899711
                9.45     24.5354673795612
                 9.5      24.567641430421
                9.55     24.6002807803881
                 9.6     24.6340275208022
                9.65     24.6694571692239
