%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% Meta data %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% Boundary condition: SHBC
% f: 200Hz
% Incident wave direction: alpha_s = 240Deg, beta_s = 0Deg
% Formulation: BGU
% Core method: IGA
% Method: IE
% Infinite element basis (in radial shape functions): Chebyshev
% N: 3
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% Data %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
               alpha                   TS
                   0     8.73164361115198
                0.05     8.73159480953736
                 0.1     8.73144840922649
                0.15     8.73120442381931
                 0.2     8.73086287599126
                0.25     8.73042379750684
                 0.3     8.72988722923824
                0.35     8.72925322118954
                 0.4     8.72852183252612
                0.45     8.72769313160961
                 0.5     8.72676719603801
                0.55     8.72574411269133
                 0.6     8.72462397778236
                0.65     8.72340689691305
                 0.7     8.72209298513599
                0.75     8.72068236702139
                 0.8     8.71917517672927
                0.85     8.71757155808712
                 0.9     8.71587166467271
                0.95     8.71407565990227
                   1     8.71218371712411
                1.05     8.71019601971724
                 1.1     8.70811276119557
                1.15     8.70593414531716
                 1.2     8.70366038619887
                1.25     8.70129170843619
                 1.3     8.69882834722826
                1.35     8.69627054850821
                 1.4     8.69361856907861
                1.45     8.69087267675216
                 1.5     8.68803315049744
                1.55     8.68510028058995
                 1.6     8.68207436876809
                1.65     8.67895572839435
                 1.7     8.67574468462163
                1.75     8.67244157456421
                 1.8     8.66904674747433
                1.85      8.6655605649232
                 1.9     8.66198340098718
                1.95     8.65831564243884
                   2     8.65455768894287
                2.05     8.65070995325669
                 2.1     8.64677286143605
                2.15     8.64274685304499
                 2.2     8.63863238137087
                2.25     8.63442991364366
                 2.3     8.63013993125989
                2.35     8.62576293001114
                 2.4     8.62129942031688
                2.45     8.61674992746155
                 2.5     8.61211499183607
                2.55     8.60739516918337
                 2.6     8.60259103084811
                2.65     8.59770316403035
                 2.7     8.59273217204315
                2.75     8.58767867457389
                 2.8     8.58254330794939
                2.85     8.57732672540454
                 2.9     8.57202959735442
                2.95      8.5666526116697
                   3     8.56119647395533
                3.05     8.55566190783226
                 3.1     8.55004965522195
                3.15     8.54436047663392
                 3.2     8.53859515145559
                3.25     8.53275447824484
                 3.3      8.5268392750246
                3.35      8.5208503795797
                 3.4     8.51478864975543
                3.45     8.50865496375795
                 3.5     8.50245022045607
                3.55     8.49617533968427
                 3.6     8.48983126254684
                3.65     8.48341895172269
                 3.7     8.47693939177069
                3.75     8.47039358943545
                 3.8     8.46378257395283
